"","Position","C.T","G.A"
"1",1,0.819578416163785,0.606722734767065
"2",2,0.748505128489868,0.566988603169412
"3",3,0.67268257141507,0.530820056032114
"4",4,0.602854096792824,0.499315514014853
"5",5,0.546596441036911,0.473588520901142
"6",6,0.50562014883571,0.454135967033105
"7",7,0.477562189332401,0.440568417505935
"8",8,0.458929279719976,0.431788086658263
"9",9,0.446949424244027,0.426201664472008
"10",10,0.439006745825851,0.423108477578965
"11",11,0.433529668354372,0.421731475040595
"12",12,0.429670038690042,0.42135847430297
"13",-12,0.423160301886514,0.427902892844849
"14",-11,0.421972280054052,0.433288210550464
"15",-10,0.423735740027732,0.43839891615179
"16",-9,0.428485218339071,0.444795137523207
"17",-8,0.435512780668851,0.455487719405664
"18",-7,0.444680807265571,0.473895812922269
"19",-6,0.457345906115136,0.502917392915432
"20",-5,0.475163190429763,0.545365990227482
"21",-4,0.499996718512928,0.602350864272849
"22",-3,0.532201593629473,0.671918095068617
"23",-2,0.570056016642635,0.747364070277071
"24",-1,0.610554945184085,0.818672393553976
